index,node-label,COG-x,COG-y,COG-z
1,aHIP-rh,26,-14,-20
2,pHIP-rh,28,-32,-8
3,lAMY-rh,28,-2,-22
4,mAMY-rh,22,-6,-16
5,THA-DP-rh,16,-30,2
6,THA-VP-rh,14,-22,2
7,THA-VA-rh,8,-10,6
8,THA-DA-rh,12,-22,12
9,NAc-shell-rh,12,10,-6
10,NAc-core-rh,14,18,-2
11,pGP-rh,24,-8,-2
12,aGP-rh,18,0,-2
13,aPUT-rh,24,8,-2
14,pPUT-rh,30,-6,4
15,aCAU-rh,14,14,6
16,pCAU-rh,14,4,16
17,aHIP-lh,-24,-14,-20
18,pHIP-lh,-26,-32,-8
19,lAMY-lh,-26,-2,-22
20,mAMY-lh,-20,-6,-16
21,THA-DP-lh,-14,-30,2
22,THA-VP-lh,-12,-22,2
23,THA-VA-lh,-6,-10,6
24,THA-DA-lh,-10,-22,12
25,NAc-shell-lh,-10,10,-6
26,NAc-core-lh,-12,18,-2
27,pGP-lh,-22,-8,-2
28,aGP-lh,-16,0,-2
29,aPUT-lh,-22,8,-2
30,pPUT-lh,-28,-6,4
31,aCAU-lh,-12,14,6
32,pCAU-lh,-12,4,16
